place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Lake Ridge,Prince William County,Northern Virginia,Urban Core,1646,2005.44,95.54,0.4975,3.5,0.4383,0.1431,0.5292,0.0492,0.25,0.1136
Lakeside,Henrico County,Richmond Metro,Suburban,1082,865.41,91.58,0.3718,6.82,0.3256,0.2864,0.3356,0.0345,0.1824,0.2121
Lansdowne,Loudoun County,Northern Virginia,Suburban,1616,1245.2,85.82,0.2957,4.49,0.32,0.073,0.33,0.0205,0.2165,0.2148
Laurel,Henrico County,Richmond Metro,Suburban,1480,1190.85,90.79,0.3816,6.35,0.2629,0.2575,0.5482,0.0385,0.1938,0.1089
Laurel Hill,Fairfax County,Northern Virginia,Suburban,2277,828.71,96.0,0.4507,4.82,0.2854,0.1102,0.6152,0.0412,0.3038,0.1164
Laymantown,Botetourt County,Roanoke-New River,Suburban,2167,365.62,99.0,0.5768,-7.28,0.3119,0.1607,0.0656,0.0099,0.2216,0.2556
Leesburg,Loudoun County,Northern Virginia,Suburban,1910,1685.37,85.25,0.2987,5.79,0.3939,0.1503,0.3942,0.0287,0.2673,0.0784
Leesylvania,Prince William County,Northern Virginia,Suburban,1751,1790.1,87.0,0.333,3.19,0.3874,0.1156,0.7128,0.06,0.2402,0.0656
Lexington,Lexington city,Shenandoah Valley,Suburban,1214,1121.13,90.67,0.3786,2.2,0.2907,0.2964,0.1959,0.0309,0.1105,0.1814
Lincolnia,Fairfax County,Northern Virginia,Suburban,1527,1760.66,93.79,0.4263,5.72,0.4298,0.219,0.6402,0.0343,0.1812,0.1144
Linton Hall,Prince William County,Northern Virginia,Suburban,1874,1300.01,92.21,0.3961,4.31,0.3208,0.12,0.4443,0.037,0.3003,0.1079
Loch Lomond,Prince William County,Northern Virginia,Urban Core,1232,2182.31,91.5,0.4166,3.84,0.597,0.1315,0.7451,0.0608,0.1887,0.1438
Long Branch,Fairfax County,Northern Virginia,Suburban,1934,1206.23,98.75,0.5295,2.38,0.3019,0.0751,0.381,0.0415,0.233,0.1966
Lorton,Fairfax County,Northern Virginia,Suburban,1615,1660.95,93.0,0.3747,4.68,0.4259,0.1956,0.682,0.0352,0.2636,0.1732
Loudoun Valley Estates,Loudoun County,Northern Virginia,Suburban,2457,956.38,84.0,0.2584,7.84,0.1166,0.0638,0.622,0.0381,0.3184,0.0517
Low Moor,Alleghany County,Roanoke-New River,Exurban,1025,317.64,98.0,0.4824,0.65,0.4527,0.5781,0.0488,0.0,0.2527,0.2098
Lowes Island,Loudoun County,Northern Virginia,Urban Core,2254,1435.21,97.2,0.4824,-0.58,0.2852,0.0605,0.3617,0.0289,0.2734,0.0898
Luray,Page County,Shenandoah Valley,Suburban,1116,639.96,85.17,0.2875,0.18,0.411,0.2988,0.074,0.0268,0.1464,0.3049
Lynchburg,Lynchburg city,Lynchburg Region,Suburban,1362,727.87,91.79,0.4809,3.76,0.4903,0.3607,0.3893,0.0626,0.1954,0.1506
Lyndhurst,Augusta County,Shenandoah Valley,Suburban,1316,1507.79,98.0,0.4863,-3.93,0.3852,0.4992,0.1581,0.0627,0.2568,0.3351
Madison Heights,Amherst County,Lynchburg Region,Exurban,1361,353.76,98.0,0.6244,-1.88,0.5362,0.3395,0.2987,0.0765,0.2004,0.2144
Mallow,Alleghany County,Roanoke-New River,Exurban,625,359.84,82.0,0.2824,1.35,0.5755,0.4144,0.1952,0.0,0.1248,0.3792
Manassas,Manassas city,Northern Virginia,Suburban,1638,1726.53,84.69,0.3242,10.42,0.5116,0.1897,0.5826,0.0554,0.2686,0.1154
Manassas Park,Manassas Park city,Northern Virginia,Urban Core,1898,2175.37,86.67,0.3705,5.31,0.4956,0.2681,0.691,0.0397,0.2339,0.107
Manchester,Chesterfield County,Richmond Metro,Suburban,1619,812.75,98.38,0.5096,3.02,0.291,0.2534,0.5513,0.0626,0.2372,0.1591
Mantua,Fairfax County,Northern Virginia,Suburban,1943,1258.32,100.0,0.6241,-0.77,0.2903,0.1444,0.3647,0.0369,0.2752,0.1463
Marion,Smyth County,Southwest Virginia,Suburban,1026,668.08,77.22,0.2029,0.38,0.5707,0.4352,0.1,0.0415,0.175,0.206
Martinsville,Martinsville city,Southside Virginia,Exurban,898,485.11,98.53,0.5947,1.12,0.4662,0.5307,0.5701,0.0499,0.2561,0.1724
Mason Neck,Fairfax County,Northern Virginia,Suburban,1126,1546.7,100.0,0.5698,-6.3,0.4379,0.1243,0.2798,0.0216,0.2345,0.1643
